,target
820,0
821,1
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,0
866,0
867,0
868,0
869,0
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,1
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,1
927,0
928,0
929,1
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,1
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,1
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,1
1076,1
1077,1
1078,0
1079,0
1080,1
1081,1
1082,0
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,1
1090,1
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,0
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,0
1191,1
1192,1
1193,0
1194,1
1195,0
1196,1
1198,1
1200,0
1203,0
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1223,1
1224,0
1225,0
1226,0
1227,1
1228,1
1229,1
1230,1
1231,1
1232,0
1233,1
1234,1
1235,1
1236,1
1237,1
1238,0
1239,1
1240,1
1241,1
1243,1
1244,1
1245,1
1246,0
1247,0
1248,1
1249,1
1250,0
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,1
1290,0
1291,0
1292,1
1293,0
1294,0
1295,1
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,0
1303,1
1304,1
1305,0
1306,1
1307,0
1308,0
1309,1
1310,1
1311,0
1312,0
1313,0
1314,0
1315,1
1316,0
1317,0
1318,0
1319,0
1320,0
1321,1
1322,0
1323,1
1324,1
1325,0
1326,0
1327,0
1328,0
1329,0
1330,1
1331,0
1332,0
1333,1
1334,1
1335,1
1336,0
1337,0
1338,0
1339,1
1340,1
1341,0
1342,0
1343,1
1344,1
1345,1
1346,1
1347,0
1348,0
1349,0
1350,0
1351,1
1352,0
1353,1
1354,0
1355,0
1356,1
1357,1
1358,0
1359,1
1360,1
1361,1
1362,0
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,0
1371,1
1372,1
1373,1
1374,0
1375,1
1376,1
1377,0
1378,0
1379,1
1380,1
1381,1
1382,1
1383,0
1384,1
1385,1
1386,0
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,1
1394,1
1395,1
1396,1
1397,1
1398,0
1399,1
1400,1
1401,1
1402,1
1403,1
1404,0
1405,1
1406,0
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,0
1419,1
1420,1
1421,0
1422,1
1423,1
1424,1
1425,1
1426,0
1427,1
1428,0
1429,0
1430,1
1431,0
1432,1
1433,1
1434,1
1435,0
1436,0
1437,1
1438,0
1439,0
1440,1
1441,1
1442,1
1443,1
1444,0
1445,0
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,0
1453,0
1454,1
1455,0
1456,0
1457,1
1458,1
1459,1
1460,0
1461,1
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,1
1471,0
1472,1
1473,0
1474,0
1475,1
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,1
1486,0
1487,1
1488,0
1489,0
1490,0
1491,0
1492,0
1493,1
1494,0
1495,0
1496,0
1497,1
1498,0
1499,1
1500,0
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,0
1508,0
1509,1
1510,1
1511,0
1512,1
1513,0
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,1
1530,1
1531,1
1532,0
1533,1
1534,0
1535,0
1536,1
1537,0
1538,1
1539,1
1540,1
1541,0
1542,0
1543,0
1544,0
1545,1
1546,0
1547,0
1548,0
1549,1
1550,1
1551,0
1552,0
1553,1
1554,0
1555,0
1556,0
1557,1
1558,1
1559,1
1560,0
1561,0
1562,0
1563,0
1564,0
1565,1
1566,0
1567,1
1568,0
1569,0
1570,1
1571,0
1572,0
1573,0
1574,0
1575,1
1576,0
1577,0
1578,0
1579,0
1580,0
1581,1
1582,0
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,1
1592,0
1593,0
1594,0
1595,0
1596,1
1597,0
1598,1
1599,0
1600,0
1601,1
1602,0
1603,1
1604,1
1605,0
1606,0
1607,0
1608,1
1609,0
1610,0
1611,0
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,1
1619,0
1620,1
1621,1
1622,0
1623,1
1624,1
1625,0
1626,0
1627,1
1628,0
1629,1
1630,0
1631,0
1632,1
1633,0
1634,0
1635,1
1636,0
1637,1
1638,0
1639,1
1640,1
1641,1
1642,0
1643,0
1644,0
1645,1
1646,0
1647,1
1648,0
1649,0
1650,0
1651,0
1652,0
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,1
1662,1
1663,1
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,1
1687,0
1688,0
1689,0
1690,0
1691,1
1692,0
1693,1
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1705,0
1706,0
1707,1
1708,0
1709,0
1710,1
1711,1
1712,1
1713,1
1714,1
1715,0
1716,1
1717,1
1718,0
1719,1
1720,1
1721,1
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,1
1729,0
1730,1
1731,0
1732,0
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,0
1747,0
1748,1
1749,1
1750,1
1751,1
1752,0
1753,0
1754,0
1755,0
1756,1
1757,1
1758,1
1759,0
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,0
1770,1
1772,1
1773,1
1774,1
1775,1
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,1
1783,0
1784,0
1785,0
1786,1
1787,1
1788,1
1789,0
1790,0
1791,1
1792,1
1793,0
1794,0
1795,1
1796,0
1797,0
1798,1
1799,0
1800,0
1801,1
1802,0
1803,0
1804,0
1805,1
1806,0
1807,1
1808,1
1809,0
1810,0
1811,0
1812,1
1813,1
1814,0
1815,1
1816,1
1817,1
1818,1
1819,1
1820,0
1821,1
1822,1
1823,0
1824,0
1825,0
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,0
1834,1
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,1
1842,1
1843,1
1844,1
1845,0
1846,0
1847,1
1848,0
1849,0
1850,0
1851,0
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,1
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,1
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,1
1892,1
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,1
1907,0
1908,1
1909,0
1910,0
1911,0
1912,0
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,1
1931,0
1932,0
1933,1
1934,1
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,1
1952,0
1953,0
1954,1
1955,0
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,1
1970,1
1971,0
1972,0
1973,0
1974,1
1975,1
1976,0
1977,0
1978,0
1979,1
1980,1
1981,0
1982,0
1983,0
1984,0
1985,0
1986,1
1987,0
1988,0
1989,0
1990,1
1991,0
1992,0
1993,0
1994,0
1995,1
1996,1
1997,1
1998,0
1999,1
2000,0
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,1
2009,1
2010,1
2011,0
2012,0
2013,1
2014,0
2015,1
2016,1
2017,1
2018,0
2019,0
2020,0
2021,1
2022,1
2023,0
2024,0
2025,0
2026,1
2027,0
2028,1
2029,0
2030,1
2031,0
2032,0
2033,1
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,1
2051,1
2052,0
2053,0
2054,0
2055,0
2056,0
2057,1
2058,0
2059,0
2060,1
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,1
2069,0
2070,0
2071,1
2072,0
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,0
2080,0
2081,0
2082,1
2083,0
2084,1
2085,1
2086,0
2087,0
2088,0
2089,0
2090,0
2091,1
2092,0
2093,0
2094,1
2095,0
2096,1
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,1
2105,1
2106,0
2107,1
2108,0
2109,0
2110,0
2111,0
2112,0
2113,1
2114,1
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,1
2125,1
2126,0
2127,1
2128,1
2129,1
2130,1
2131,0
2132,1
2133,1
2134,1
2135,0
2136,1
2137,0
2138,0
2139,0
2140,1
2141,1
2142,1
2143,1
2144,1
2145,0
2146,0
2147,1
2148,0
2149,1
2150,0
2151,1
2152,1
2153,0
2154,1
2155,1
2156,1
2157,1
2158,1
2159,0
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,1
2207,1
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,1
2221,0
2222,1
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,1
2237,0
2238,0
2239,1
2240,0
2241,0
2242,0
2243,0
2244,0
2245,1
2246,0
2247,0
2248,0
2249,0
2250,1
2251,0
2252,0
2253,0
2254,0
2255,1
2256,0
2257,1
2258,0
2259,0
2260,1
2261,0
2262,0
2263,0
2264,0
2265,0
2266,1
2267,0
2268,1
2269,1
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,1
2280,0
2281,0
2282,0
2283,0
2284,0
2285,1
2286,0
2287,0
2288,0
2289,0
2290,0
2291,1
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,1
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,1
2311,1
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,1
2319,0
2320,0
2321,1
2322,0
2323,0
2324,1
2325,0
2326,0
2327,0
2328,0
2329,1
2330,1
2331,1
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,1
2341,1
2342,1
2343,1
2344,0
2346,1
2347,0
2348,1
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,1
2357,0
2358,0
2359,0
2360,0
2361,1
2362,0
2363,0
2364,0
2365,0
2366,0
2367,1
2368,0
2369,0
2370,0
2371,0
2372,0
2373,1
2374,1
2375,1
2376,1
2377,1
2378,0
2379,1
2380,0
2381,1
2382,0
2383,0
2384,1
2385,0
2386,1
2387,1
2388,0
2389,0
2390,1
2391,1
2392,1
2393,0
2394,0
2395,1
2396,0
2397,0
2398,0
2399,1
2400,1
2401,1
2402,1
2403,0
2404,1
2405,1
2406,0
2407,1
2408,1
2409,1
2410,1
2411,1
2412,0
2413,0
2414,1
2415,1
2416,0
2417,1
2418,1
2419,1
2420,1
2421,0
2422,1
2423,0
2424,1
2425,0
2426,1
2427,1
2428,1
2429,0
2430,0
2431,0
2432,1
2433,1
2434,1
2435,1
2436,0
2437,1
2438,1
2440,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,1
2451,1
2452,1
2453,1
2455,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2478,1
2479,0
2480,0
2481,1
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,1
2489,0
2490,0
2491,1
2492,0
2493,1
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,1
2501,0
2502,0
2503,0
2504,1
2505,0
2506,0
2507,1
2508,1
2509,0
2510,0
2511,1
2512,0
2513,0
2514,0
2515,0
2516,1
2517,0
2518,0
2519,0
2520,0
2521,0
2522,1
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,1
2532,0
2533,0
2534,0
2535,0
2536,1
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,1
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,1
2553,0
2554,1
2555,1
2556,1
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,1
2564,1
2565,0
2566,0
2567,0
2568,0
2569,1
2570,0
2571,0
2572,0
2573,1
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,1
2589,1
2590,0
2591,0
2592,0
2593,0
2594,0
2595,1
2596,1
2597,0
2598,0
2599,0
2600,0
2601,1
2602,1
2603,1
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,1
2611,0
2612,1
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,1
2625,0
2626,0
2627,1
2628,0
2629,1
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,1
2644,1
2645,0
2647,1
2648,1
2649,0
2650,0
2652,0
2653,1
2654,1
2656,0
2657,0
2658,1
2659,0
2660,0
2661,0
2662,1
2663,0
2664,1
2665,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,1
2676,1
2677,0
2678,0
2680,1
2681,0
2682,0
2683,0
2684,0
2685,0
2686,1
2687,1
2688,0
2689,0
2690,0
2691,1
2692,1
2693,0
2694,0
2695,1
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,1
2704,1
2705,0
2706,0
2707,0
2708,0
2709,1
2710,0
2711,1
2712,0
2713,0
2714,0
2715,1
2716,1
2717,1
2718,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,0
2728,1
2729,0
2730,0
2731,0
2732,0
2733,0
2734,0
2735,0
2737,1
2738,1
2739,1
2740,0
2741,0
2742,0
2743,0
2744,1
2745,1
2746,1
2747,1
2748,1
2749,1
2750,0
2751,1
2752,1
2753,1
2754,1
2755,1
2756,0
2757,1
2758,1
2759,1
2760,1
2761,1
2762,1
2763,0
2764,1
2765,0
2766,0
2767,1
2768,1
2769,0
2770,1
2771,1
2772,1
2773,0
2774,1
2775,1
2776,1
2777,1
2778,0
2779,1
2780,0
2781,0
2782,1
2783,0
2784,0
2785,1
2786,0
2787,1
2788,1
2789,0
2790,0
2791,1
2792,0
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2800,0
2801,0
2802,0
2803,0
2804,1
2805,0
2806,0
2807,1
2808,0
2809,0
2810,0
2811,0
2812,1
2813,0
2814,0
2815,0
2817,1
2818,1
2819,1
2820,1
2821,0
2823,0
2824,1
2825,0
2826,1
2827,1
2828,1
2829,1
2832,1
2834,0
2835,1
2836,1
2837,1
2838,0
2839,1
2840,0
2841,1
2842,1
2843,1
2844,1
2845,1
2846,0
2847,1
2848,1
2849,0
2851,0
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,0
2866,0
2867,1
2868,1
2869,1
2870,1
2871,0
2872,1
2873,1
2874,0
2875,1
2876,1
2877,0
2878,1
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,0
2886,0
2887,0
2888,1
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,0
2898,0
2899,0
2900,0
2901,0
2902,0
2903,0
2904,0
2905,1
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,0
2915,1
2916,0
2917,0
2918,0
2919,0
2920,0
2921,1
2922,1
2923,1
2924,0
2925,0
2926,0
2927,0
2928,0
2929,0
2930,1
2931,1
2932,0
2933,0
2934,0
2935,1
2936,0
2937,1
2938,0
2939,0
2940,1
2941,1
2942,0
2943,0
2944,1
2945,1
2946,1
2947,1
2948,0
2949,0
2950,1
2951,0
2952,1
2953,0
2954,0
2955,0
2956,0
2957,0
2958,0
2959,0
2960,1
2961,1
2962,0
2963,0
2964,0
2965,1
2966,0
2967,0
2968,1
2969,0
2970,1
2971,0
2972,0
2973,0
2974,1
2975,1
2976,1
2977,1
2978,0
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,0
2987,0
2988,0
2989,0
2990,0
2991,0
2992,1
2993,1
2994,1
2995,1
2996,1
2997,1
2998,1
2999,1
3000,1
3001,0
3002,0
3003,0
3004,1
3005,1
3006,1
3007,1
3008,1
3009,0
3010,1
3011,0
3012,0
3013,0
3014,1
3015,1
3016,1
3017,0
3018,1
3019,0
3020,1
3021,1
3022,0
3023,1
3024,1
3025,1
3026,0
3027,1
3028,1
3029,1
3030,1
3031,0
3032,1
3033,1
3034,0
3035,1
3036,1
3037,1
3038,1
